Timestamp,How would you rate yourself from 1-10 on the left-right ideological scale? ,Have you ever worked in the private sphere?,Have you ever worked in the public sphere?,How would you rate yourself on interpretivist-positivist scale?,Have you ever published in a non-peer reviewed publication before? ,Have you ever published in a peer-reviewed publication before? ,How many languages do you speak fluently?,"In terms of gender, do you identify as a woman?",State your level of agreement with the following statement: We can make claims about the social world from doing social science in the same way that we can make claims about nature in the natural sciences.,To what degree do you identify with an electoral party where it matters to you.
22/10/2020 16:07:25,3,2,2,2,2,1,2,2,1,2
22/10/2020 16:07:46,5,2,2,5,1,2,4,2,5,1
28/10/2020 14:18:48,5,2,2,7,1,1,3,1,4,2
29/10/2020 14:35:09,3,1,2,8,2,1,2,2,3,2
29/10/2020 14:35:16,3,2,2,8,1,1,1,2,2,1
29/10/2020 14:35:25,2,1,2,2,1,1,2,2,2,2
29/10/2020 14:35:32,3,1,2,4,1,1,3,2,2,1
29/10/2020 14:35:36,3,2,2,3,2,1,3,2,2,2
29/10/2020 14:35:54,1,2,1,2,2,1,3,2,2,1
29/10/2020 14:35:58,1,1,2,2,2,2,4,2,2,3
29/10/2020 14:36:01,6,2,1,9,1,1,2,1,4,1
29/10/2020 14:36:02,3,2,1,2,1,1,3,1,2,2
29/10/2020 14:36:10,3,2,2,7,2,2,4,2,3,2
29/10/2020 14:36:12,1,2,2,2,1,1,4,1,2,2
29/10/2020 14:36:15,3,2,2,6,2,2,3,1,4,2
29/10/2020 14:36:17,2,2,2,5,1,1,2,2,3,2
29/10/2020 14:36:18,3,2,2,2,2,1,1,1,2,2
29/10/2020 14:36:18,8,2,1,8,1,2,3,2,4,1
29/10/2020 14:36:20,2,2,1,2,1,1,1,1,1,1
29/10/2020 14:36:32,5,2,1,6,1,2,1,1,3,2
29/10/2020 14:36:32,4,2,2,4,1,1,3,1,2,3
29/10/2020 14:37:04,3,1,2,4,1,1,2,1,2,3
29/10/2020 14:37:06,5,2,2,7,2,1,3,1,3,2